タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
★Vol.3～コーラス＆ダンスバージョン～HPACすみれの花咲く頃　プロジェクト,https://www.youtube.com/watch?v=8VnuQuitnoA,2231,1660,134,2020/04/27
【Coffin Meme full.ver】棺桶ダンスfull.ver,https://www.youtube.com/watch?v=K65OpF9WC2o,29073,1170,2484,2020/04/26
エスニックダンスレッスン-ボリウッド-,https://www.youtube.com/watch?v=GbMfg3tjyOs,479,342,140,2020/04/26
MINAKOの「お家でダンスパラダイス」vol.3[シュークフラッシュ ファンタステックな妄想LOVE]3分エクササイズです。運動不足解消にどうぞ！2020.4.27,https://www.youtube.com/watch?v=Sdx9YWsSheI,1431,819,174,2020/04/26
ルンバベーシク　Yinggui老師と聞き流し社交ダンス！⑤ベーシックとビッグカール　脱線回,https://www.youtube.com/watch?v=mkYheZkiTFc,299,325,92,2020/04/26
オンラインレッスン前に覚えておきたいハウスダンス基本ステップ3選,https://www.youtube.com/watch?v=3Ao_WidlOe0,211,798,26,2020/04/26
自粛中に自宅でTik Tokの「棺桶ダンス」を出現させる方法,https://www.youtube.com/watch?v=_fg4IJaKNas,7024,47900,14,2020/04/26
フィロソフィーのダンス「ダンス・オア・ダンス」リモート・ライブ,https://www.youtube.com/watch?v=h-Le7mXB68Y,24325,19700,123,2020/04/26
【TXT】お題ダンスが面白すぎたのでみてほしい（日本語字幕）ツッコミだらけ,https://www.youtube.com/watch?v=3CyRvuGXnCw,19770,1220,1620,2020/04/26
DCC vol.6 東野高等学校ダンス部 / テーマ：吸魄（ヴァンパイア）,https://www.youtube.com/watch?v=HZjKqztHj40,100,210,47,2020/04/26
【ダンス】『JUNES』学芸大青春 / 配信LIVE「WHO WE ARE !」2020.05.08 開催！,https://www.youtube.com/watch?v=JDU7emCQ0sw,44335,8110,546,2020/04/26
こりゃクセになる「どんどんどん はっけよい」ダンス♪がかわいいｗｗｗピアノを弾きながら…　Dance of Sumo Wrestler,https://www.youtube.com/watch?v=5rYniEx4qIc,31932,28000,114,2020/04/26
乾癬患者さん応援ソング「晴れゆく道」ダンス動画,https://www.youtube.com/watch?v=EPY_HDgrkeM,111,7,1585,2020/04/26
【U.S.A./DA PUMP】本人登場！２週間で痩せる！？ダンスエクササイズバージョン【#家で一緒にやってみよう】,https://www.youtube.com/watch?v=wFL41furS78,40004,10800,370,2020/04/26
【寝ながら３分】脚やせダンス！内もも引き締めて足痩せよう！#家で一緒にやってみよう,https://www.youtube.com/watch?v=4WTECmQMUw4,3146,1960,160,2020/04/26
ヒカキンで棺桶ダンス【COFFINDANCE】,https://www.youtube.com/watch?v=RdvitXmsUGk,8022,373,2150,2020/04/26
【Bad Guy】2週間で10kg痩せるダンス踊ってみた！,https://www.youtube.com/watch?v=0QhriFCxUgk,2598,10100,25,2020/04/26
#ライブピラダンス みんなで自宅で一緒にトレーニングしよう！#LivePiladance Let’s workout together at home!,https://www.youtube.com/watch?v=fLHJL88Q1TI,7838,62300,12,2020/04/25
【おうちで楽しくダンスエクササイズ③】ジョンテ モーニングの「DANCE UP!」簡単ダンスステップ 1 &amp; 2,https://www.youtube.com/watch?v=OuRw71Gxs9g,422,743,56,2020/04/25
Bellydance ベリーダンス 🇯🇵 早稲田大学ベリーダンスサークル SARAHbelly 2019 真夏の夜の夢 🇪🇬,https://www.youtube.com/watch?v=8tEfQcB_kDE,10811,39800,27,2020/04/25
【PSYCHO】2週間で10キロ痩せるダンス[Red Velvet|CoverDance],https://www.youtube.com/watch?v=RPi75ssioJs,2694,12200,22,2020/04/25
【痩せるダンス🔥】Dua Lipa - Physical コロナ太りを吹っ飛ばせ！洋楽でノリノリ脂肪燃焼ダイエット！,https://www.youtube.com/watch?v=jnJcnaaCG5I,5225,57900,9,2020/04/25
【ダンス】またまた現役TikTokがダンス伝言ゲームしたら難し過ぎたwww,https://www.youtube.com/watch?v=hQ6gIWizbCo,167727,441000,38,2020/04/25
#4 TIKTOKで流行の「棺桶ダンス」【COFFINDANCE】,https://www.youtube.com/watch?v=ew6uOn8BXw4,39093,9520,410,2020/04/25
SPROUT無料オンラインダンスレッスン /  KAKU / MORTAL COMBAT,https://www.youtube.com/watch?v=vfIY-Rv-CFo,255,4640,5,2020/04/25
【漫画】きわどい衣装でポールダンス！さらにはご褒美の❤❤❤【期間限定】【5/8(金)まで！】【ファンタジーラブコメ】【賢者ちゃんは悟ってない！９話】｜ドラドラプラス公式,https://www.youtube.com/watch?v=br1KIHakyG8,65698,36400,180,2020/04/25
マイケル・ジョーダン：ラストダンス公開！ NBA HORSEでマイク・コンリー優勝,https://www.youtube.com/watch?v=uxiB5eNmgCk,2853,9070,31,2020/04/25
【4Kベリーダンス】ウズメベリーダンス2014④ 【Japanese Belly Dancers】,https://www.youtube.com/watch?v=gK8S1kE04sY,4134,65400,6,2020/04/25
【HANDCLAP】ガチで踊ってみた | 2週間で10kg痩せるダンスを自粛中なのでベランダでやってみた,https://www.youtube.com/watch?v=OrDXetwR4yo,1750,1400,125,2020/04/25
【教えてみた】ドリームパレード ダンス振付(サビ),https://www.youtube.com/watch?v=bB-8LU2Y6jw,2300,2010,114,2020/04/25
手洗いダンス × 駅前テレビ編,https://www.youtube.com/watch?v=Kl-av3SNUcs,360,1540,23,2020/04/25
ゆゆうたで棺桶ダンス【COFFINDANCE】,https://www.youtube.com/watch?v=rDRg8uFFzeg,5477,373,1468,2020/04/25
棺桶ダンス　元ネタ　素材,https://www.youtube.com/watch?v=JDysWoGplRc,19456,1920,1013,2020/04/24
【TikTok】流行りのダンス ダンスメドレー ダンスまとめ,https://www.youtube.com/watch?v=trcbnFo0BUU,3656,1140,320,2020/04/24
Corona dance choreography commentary / コロナダンス　振付解説 / トゥワークみくり MiQri TWERK,https://www.youtube.com/watch?v=AWq8SU81tdk,9550,52200,18,2020/04/24
動画先生#036【サンバ(バウンズアクション)】社交ダンス。。。,https://www.youtube.com/watch?v=Eyu26O6mjgU,1261,5610,22,2020/04/24
【初心者用】乃木坂46『今、話したい誰かがいる』ダンス振付徹底解説！！【反転スロー】だんすーみん,https://www.youtube.com/watch?v=sa-vPhiRD7A,6956,11100,62,2020/04/24
【おうちで楽しくダンスエクササイズ②】ジョンテ モーニングの「DANCE UP!」ストレッチ編,https://www.youtube.com/watch?v=mPxq53l33_s,441,743,59,2020/04/24
【おうちで楽しくダンスエクササイズ①】ジョンテ モーニングの「DANCE UP!」ウォーミングアップ編,https://www.youtube.com/watch?v=lPIkQcCx06M,1091,743,146,2020/04/24
【自宅でエクササイズ】】ブレイクダンストレーニング②【エクササイズ】,https://www.youtube.com/watch?v=QUskV4QgGO4,1684,11400,14,2020/04/24
再星のダンス【ドラえもんおやくそく×金星のダンス】,https://www.youtube.com/watch?v=k03ZGQuGsJ8,26552,10200,260,2020/04/24
＃26　～大阪府×JDAC〜 みんなで踊ろう！☆めっちゃWAKUWAKUダンス☆【★☆お家でダンス☆★】,https://www.youtube.com/watch?v=almP_dN-EUk,1084,306,354,2020/04/24
SixTONES Telephone ダンス反転,https://www.youtube.com/watch?v=nDzcWS5gL0I,815,12500,6,2020/04/24
脂肪燃焼ダンスエクササイズ①,https://www.youtube.com/watch?v=dQl1halDzxE,10178,5100,199,2020/04/24
脂肪燃焼ダンスエクササイズ②,https://www.youtube.com/watch?v=XBYboxgyrjs,3168,5100,62,2020/04/24
おうちで練習してみよう！キッズダンススクール振り付け動画（スカイダイビング）,https://www.youtube.com/watch?v=P43d5dAwnmc,2333,5100,45,2020/04/24
ダンス振付チャレンジ【前半編】,https://www.youtube.com/watch?v=K7XFcZtiqNc,2017,5100,39,2020/04/24
ダンス振付チャレンジ【完成編】,https://www.youtube.com/watch?v=6Q-HC7plDc4,1781,5100,34,2020/04/24
おうちで練習してみよう！キッズダンススクール振り付け動画（探偵）,https://www.youtube.com/watch?v=ZQn_DIqrw80,1814,5100,35,2020/04/24
ダンスストレッチ②,https://www.youtube.com/watch?v=QHQkeXCmiLE,1071,5100,21,2020/04/24
ホロライブメンバーで棺桶ダンス/Coffin Dance with hololive #1【ホロライブ】,https://www.youtube.com/watch?v=6DxIN652sRc,6522,1830,356,2020/04/24
★Vol.1～コーラス&amp;ダンスバージョン～ HPACすみれの花咲く頃　プロジェクト,https://www.youtube.com/watch?v=ZTXeoYj24IA,13451,1660,810,2020/04/24
【チュワパネ！ガールズガールズ全員集合ver.】おはガール from Girls²『みんなで踊ろう！おはダンス！～朝からみんなを元気にする魔法の言葉 チュワパネ～』【おはスタ】,https://www.youtube.com/watch?v=iXPGq4UE-ZA,279323,31200,895,2020/04/23
保育園でのルーティーン🌈ダンスのクセ強めです。　Routine at the nursery／That&#39;s a strong characteristic～,https://www.youtube.com/watch?v=mV42HSFV8Aw,56591,28000,202,2020/04/23
【ダンス企画】イヤホンから流れるアニソンをダンスで伝えろ！,https://www.youtube.com/watch?v=5KoIA5ag1tA,35523,274000,12,2020/04/23
【棺桶ダンス】  棺桶ダンス1時間耐久   Casket dance,https://www.youtube.com/watch?v=PSZw1e9Qn-E,5766,77,7488,2020/04/23
【FF7R/作業用 BGM】蜜蜂の館 Honey Bee ダンス 曲のみ 声なし。ゲーム音楽【FF7リメイク/Final fantasy Ⅶ Remake/ファイナルファンタジーVIIリメイク】,https://www.youtube.com/watch?v=x4cpuJlfwnE,1158,15100,7,2020/04/22
自粛中ということで即興で痩せそうなダンス踊り狂ってみた💃【1週間で10キロ痩せそうなダンス】,https://www.youtube.com/watch?v=9AJbZV00j7s,103556,1440000,7,2020/04/22
街でダンス 店は大行列　新型コロナ収束!? 封鎖解除の中国,https://www.youtube.com/watch?v=Zbv8JrWpshI,224918,278000,80,2020/04/22
【ミタゾノ流ダンスエクササイズ】Hey! Say! JUMP「Last Mermaid...」（ドラマ主題歌）にのせて,https://www.youtube.com/watch?v=RPuq9cJlF1I,391218,354000,110,2020/04/20
石橋陽彩 #うちで踊ろう  ダンス編,https://www.youtube.com/watch?v=hh67Cn45Zg0,62893,91500,68,2020/04/19
[Beat Saber] Coffin Dance (EXPERT+),https://www.youtube.com/watch?v=nZNHD7zt1pE,4441820,652000,681,2020/04/18
【おかんと踊ろう】アラ還のお母さんとエアロビ風ダンス一緒に踊ってみた！＃家で一緒にやってみよう【痩せるダンス】,https://www.youtube.com/watch?v=5hlji1ZTO_o,710993,531000,133,2020/04/18
【おうちダンス】おうち時間にフラッシュダンスチャレンジ！！ #StayHome,https://www.youtube.com/watch?v=HazocvM9ceo,75741,224000,33,2020/04/18
【決定版】初心者用２０分の痩せるダンス筋トレ総集編！【下半身強化】＃家で一緒にやってみよう,https://www.youtube.com/watch?v=lTD1yuNErFg,201199,531000,37,2020/04/17
【早稲田】ベリーダンスサークル「SARAHbelly」の１日に密着！！！,https://www.youtube.com/watch?v=eovvtelaCfA,15549,20600,75,2020/04/17
SixTONES - Dance Game「ダンスジェスチャーゲーム」さらに盛り上がった！,https://www.youtube.com/watch?v=0Qw__97VgDo,820315,706000,116,2020/04/17
#18 Perfume【TOKYO GIRL】&quot;ダンスレッスン&quot; LIVE MC【練習用】,https://www.youtube.com/watch?v=YSr9bL8GXwA,56737,799000,7,2020/04/17
【SnowManの切り込み隊長】 佐久間大介くんのダンスが沼でしかない 【ダンス】,https://www.youtube.com/watch?v=hNwfhx8VQIU,115523,438,26375,2020/04/16
「4K 60 fps」 World&#39;s End Dancehall (ワールズエンド・ダンスホール) / wowaka | Miku &amp; Rin | MikuMikuDance (MMD),https://www.youtube.com/watch?v=QiBveEa_rXk,64639,20600,313,2020/04/15
【うちで踊ろう】ぺえのエクササイズダンス,https://www.youtube.com/watch?v=34eqZEdZoH8,53273,88700,60,2020/04/15
【17分連続】うちで踊ろう☆ダンス・たいそうメドレー♬うちで過ごそう★パプリカ、NHK「おかあさんといっしょ」からだ☆ダンダン、「いないいないばあっ！」ピカピカブ〜！、こどものうた・童謡など全7曲★,https://www.youtube.com/watch?v=rca3VtGLRG8,113214,74700,151,2020/04/15
花王 サクセス サクセス２４　シャンプー＆コンディショナー　気になるニオイダンス 動画広告 西野七瀬,https://www.youtube.com/watch?v=ced41idR4Jo,1374783,59100,2326,2020/04/14
【FF7 リメイク】キャバ嬢エアリスを本気のパーフェクトダンスで気分↑↑にさせるクラウドさん動画,https://www.youtube.com/watch?v=51vc6wNcozU,290493,2680,10839,2020/04/13
GENERATIONS/ヒラヒラ ダンスをスロー&amp;反転で徹底解説!【初心者もOK】,https://www.youtube.com/watch?v=spgNbR7-mog,20441,1430,1429,2020/04/13
NEW BEST COFFIN DANCING MEME COMPILATION  Full ～棺桶ダンス 60連発～,https://www.youtube.com/watch?v=oS9GkxV4MaU,549936,1430,38457,2020/04/13
【地獄の１２分】家でできる腹筋ダンスで速攻お腹痩せ！ドM専用ダイエット動画 #家で一緒にやってみよう【We Can ダンス】,https://www.youtube.com/watch?v=lWtW7cmwm2o,520115,531000,97,2020/04/12
クラウドダンス最高得点【FF7リメイク】- FINAL FANTASYVII REMAKE dance perfect score / PS4,https://www.youtube.com/watch?v=lrTkdBv_DYQ,834516,1360,61361,2020/04/11
＜NHK＞2020応援ソング「パプリカ」Foorin 新ダンスバージョン,https://www.youtube.com/watch?v=rLRKpq3xuug,384124,2070000,18,2020/04/11
【公開!!／43分動画】圧倒的カロリー消費／超痩せるダンスでダイエット【自宅で出来るエアロビクス・フルレッスン】#112,https://www.youtube.com/watch?v=QfZUb5mVVIc,30791,30000,102,2020/04/11
#5 Perfume【TOKYO GIRL】&quot;ダンスレッスン&quot; LIVE MC【練習用】,https://www.youtube.com/watch?v=2eF8najBITs,49733,799000,6,2020/04/11
【#17】蜜蜂の館でダンスバトルをするクラウド (チャプター9 欲望の街)【FF7リメイク】ファイナルファンタジー7 FINAL FANTASY VII REMAKE,https://www.youtube.com/watch?v=e9BYHsyMrVg,82125,59000,139,2020/04/10
【初心者用】乃木坂46『I  see...』ダンス振付徹底解説！4期生！新曲！【反転スロー】だんすーみん,https://www.youtube.com/watch?v=BOYJAF6Kd-w,23807,11100,214,2020/04/10
FUNNY COFFIN DANCE MEME- 葬式で陽気なダンスを持つ黒人の弟[ 面白い動画],https://www.youtube.com/watch?v=xoqqNPu_NbQ,107482,87,123542,2020/04/10
SixTONES - Dance Game「ダンスジェスチャーゲーム」やってみた！,https://www.youtube.com/watch?v=pZbZBosdtbg,995291,706000,140,2020/04/10
#2 Perfume【TOKYO GIRL】&quot;ダンスレッスン&quot; LIVE MC【練習用】,https://www.youtube.com/watch?v=tt30OZtvI0E,83288,799000,10,2020/04/09
#1 Perfume【TOKYO GIRL】&quot;ダンスレッスン&quot; LIVE MC【練習用】,https://www.youtube.com/watch?v=jBw_z3FNIJg,113091,799000,14,2020/04/09
棺桶ダンス,https://www.youtube.com/watch?v=kZoRmOSv9Uc,148384,1430,10376,2020/04/08
みらんはいきなりTikTokダンス踊ってくれる？,https://www.youtube.com/watch?v=TpR7Ezbis_s,317181,447000,70,2020/04/08
三代目 JSB新曲『Movin’ on』リリース記念に車内でドライブダンス!?,https://www.youtube.com/watch?v=QQG4yEHyRqw,98314,300000,32,2020/04/08
ダンスういちゃんダンス,https://www.youtube.com/watch?v=BUhwr-a4X1Y,83266,1450,5742,2020/04/08
【痩せるダンス】79万回再生の15分間カーディオダンスを頑張りました！,https://www.youtube.com/watch?v=APS7ZAccutI,118614,267000,44,2020/04/06
【決定版】家で飛ばない有酸素運動ダンスでダイエット！レッツ痩せるダンス！〜家で一緒にやってみよう〜,https://www.youtube.com/watch?v=7tP5hAmKmls,532480,531000,100,2020/04/06
【トヨタレンタカー】Let’s #ドライブダンス,https://www.youtube.com/watch?v=9fp8tm3hIZQ,206335,221000,93,2020/04/06
【AlbaNox】ビースト・ダンス歌って踊ってみた【第2弾】,https://www.youtube.com/watch?v=ODabhL7dxJ8,294607,33500,879,2020/04/05
【キラメイダンス】『魔進戦隊キラメイジャー』エンディング主題歌「キラフル ミラクル キラメイジャー」歌：出口たかし,https://www.youtube.com/watch?v=gEdbtibZnVY,114157,432000,26,2020/04/05
みんなも一緒に踊ろう！ダンス動画コ～ンテスト！！『Hey! Yo! So!　栄! 養! 素! 』踊ってみた！！himawari-CH,https://www.youtube.com/watch?v=R7U9U91R-TU,352179,2250000,15,2020/04/04
シスコーンダンス踊ってみた！ケロポンズと踊ってみよう！！『できるさ できるよ あさごはん/シスコーンズ』 ♥ -Bonitos TV- ♥,https://www.youtube.com/watch?v=nbtTU4zvW1M,112552,237000,47,2020/04/04
【在宅ダンス】三重中高ダンス部SERIOUS FLAVOR　#うちで踊ろう,https://www.youtube.com/watch?v=skiS5M-WjMQ,74799,887,8432,2020/04/04
【本気対決！】すずちゃんとTikTokで人気の曲でダンスバトル！！,https://www.youtube.com/watch?v=spFGn1hqJ7M,172658,450000,38,2020/04/03
【手洗い動画（Wash Your Hands）】〜嵐〜,https://www.youtube.com/watch?v=jSM0h8VPSZk,3388902,1470000,230,2020/04/03
【地獄の10分】家でできる脚痩せダンスで楽しくダイエット！＃家で一緒にやってみよう【タッチマイヘアダンス】,https://www.youtube.com/watch?v=fPVCgAei2hA,615193,531000,115,2020/04/02
【BL】ダンス初心者が頑張ってチューリングラブ歌って踊ってみた【かにちゃん ×まいたけ】,https://www.youtube.com/watch?v=zmqoN8LJtPg,210207,28600,734,2020/04/01
★ＳＯＭＰＯダンスプロジェクト　足が速くなるダンス,https://www.youtube.com/watch?v=QFicBOx2cEU,13381,2270,589,2020/03/31
【ダンスレッスン】ダンスレッスン公開！！【くれまぐ】【まなまや】,https://www.youtube.com/watch?v=YS5RpuWEZfM,136450,11400,1196,2020/03/31
Juice=Juice《ダンスレクチャー》ポップミュージック,https://www.youtube.com/watch?v=sJ-6y0htfo8,90550,84700,106,2020/03/31
【ヤクルト公式】ジョア「ダンスレクチャー」,https://www.youtube.com/watch?v=UXvTj1wpzkQ,655115,14300,4581,2020/03/31
【ヤクルト公式】ジョア「ジョアダンス」篇15秒,https://www.youtube.com/watch?v=TNGyDuYd5Ag,184892,14300,1292,2020/03/31
【ヤクルト公式】ジョア「ジョアダンス」篇30秒,https://www.youtube.com/watch?v=4En2F_M92Tw,2909362,14300,20345,2020/03/31
「ピナバタ」オープニング公開★矢作穂香×伊藤健太郎がダンスに挑戦！堀田茜×瀧本美織×筧美和子×Nikiもハイテンションに踊りまくるっ！【ドラマ特区「ピーナッツバターサンドウィッチ」公式】,https://www.youtube.com/watch?v=JYi869YZFvc,95542,39200,243,2020/03/30
【歌って踊ってみた】恋（3Dお披露目LIVE　ダンスVer）【にじさんじ/鈴原るる】,https://www.youtube.com/watch?v=RzvG2Lw_z18,374663,307000,122,2020/03/29
【キラメイダンス】出口たかしくんと大西洋平くんが踊ってみた！,https://www.youtube.com/watch?v=_mABszLwXQc,44584,432000,10,2020/03/29
【完コピダンス】７歳と３歳のプリキュアがなりきりダンス！ヒーリングっど❤︎プリキュア前期ED曲「ミラクルっと❤︎LinkRing」で歌って踊ったよ♪Precure Song and dance,https://www.youtube.com/watch?v=iVSzcigJWjs,174405,8400,2076,2020/03/29
【室内OK!!】静かに動ける有酸素運動／滝汗ダンスダイエット（エアロビクス）【初心者でも安心】#108,https://www.youtube.com/watch?v=ptdxtCidwG0,53635,30000,178,2020/03/28
【ショートバージョン】サッシャ 40代からダンス始めてみた 3回目 Sascha Dance Lesson Part 3,https://www.youtube.com/watch?v=CmhsUOd1jnM,330,1330,24,2020/03/28
☆ベリーダンス・ライブ・オンラインレッスン☆貴女を叶えるベリーダンス☆,https://www.youtube.com/watch?v=77AYrl8lclM,259,47,551,2020/03/28
☆オリエンタルダンス・ライブ・オンラインレッスンのお知らせ☆基礎力を強化しよう！,https://www.youtube.com/watch?v=cUcBFkaVZ-0,119,47,253,2020/03/28
「4K 60 fps」 World&#39;s End Dancehall (ワールズエンド・ダンスホール) / wowaka | Project DIVA Arcade Future Tone,https://www.youtube.com/watch?v=udg1bIBUzJM,554106,20600,2689,2020/03/27
『月とオオカミちゃん』Hina、圧巻のダンスパフォーマンス披露！ 恋愛トークでまさかの“だめんず製造機”発覚!?　『ゆきぽよの“めっかわ”ギャル祭り！byちっぽよTV！』,https://www.youtube.com/watch?v=0Ix_IQz6mU0,209351,864000,24,2020/03/27
【決定版】ドM専用！痩せるダンス総集編！本気の42分で自宅で簡単ダイエット！【＃家で一緒にやってみよう】,https://www.youtube.com/watch?v=-FIpVrcHkts,611613,531000,115,2020/03/27
【ダンス対決】ダンサーが本気でダンスTikTok対決🔥 #321,https://www.youtube.com/watch?v=ZkQHUg3-chE,201462,206000,97,2020/03/27
風男塾 (Fudanjuku) / ミュージック（ダンスVer.）,https://www.youtube.com/watch?v=E-WkALq0XvM,23796,123000,19,2020/03/27
広瀬すず、真顔でシュールにダンス　【PLANT TIME】TVCM「植物ミルクを知ってるかい」編＆メイキング,https://www.youtube.com/watch?v=YKr4MF9gTls,83691,864000,9,2020/03/27
サッシャ 40代からダンス始めてみた【3回目】 Sascha dance lesson part 3,https://www.youtube.com/watch?v=i1mYG-ld0Z8,395,1330,29,2020/03/26
ワールズエンド・ダンスホール 360° 描いてみた,https://www.youtube.com/watch?v=BQ0Mb_3IXLs,67368,185000,36,2020/03/26
豆乳グルト「豆乳グルトダンス」短篇/伊原六花,https://www.youtube.com/watch?v=bv3yR6VZoRU,198830,297,66946,2020/03/26
Fortnite フォートナイト エモート・ダンス328種類紹介！Introduction of Emote 328 types,https://www.youtube.com/watch?v=xyMQGEa9bCM,297420,56900,522,2020/03/25
三代目 J SOUL BROTHERS from EXILE TRIBE  /「Movin&#39; on」ドライブダンスムービー,https://www.youtube.com/watch?v=oQ_4muCDQEk,133313,1650,8079,2020/03/25
【踊ってみた】プチアガール【ダンスver.】,https://www.youtube.com/watch?v=z0JNHKmvYT8,877889,876000,100,2020/03/24
(神回)ベガスでストリートダンサーとダンスバトル！,https://www.youtube.com/watch?v=ZLZlvHYu2Xk,591726,178000,332,2020/03/22
【決定版】３２分のお腹が痩せるダンス&amp;筋トレで本気でダイエット！一緒に腹筋しよう！家で一緒にやってみよう,https://www.youtube.com/watch?v=yZSw9QebVK4,329106,531000,61,2020/03/22
HiHi Jets【ダンス動画】ZENSHIN (dance ver.),https://www.youtube.com/watch?v=g2Ab5EuY6MM,584844,1080000,54,2020/03/22
銀河団from劇団番町ボーイズ☆「キラメイダンス！」を踊ってみた！,https://www.youtube.com/watch?v=lLpbZgPpqQs,532220,6490,8200,2020/03/22
KinKi Kids 新堂本兄弟（生田斗真）「Tell me」のダンス覚えてる? ダーリング 2009 4 26 レア特選,https://www.youtube.com/watch?v=hzFluirjHcs,192660,10300,1870,2020/03/22
美 少年【ダンス動画】LALA love(dance ver.),https://www.youtube.com/watch?v=sO6FueHH0tc,769549,1080000,71,2020/03/21
【乃木坂46踊ってみた】下村彩里アナ本気ダンスに元乃木坂46・斎藤ちはるアナが緊急参戦!!【女子アナダンス部・練習編】,https://www.youtube.com/watch?v=Wmo93ezpHoo,1050144,135000,777,2020/03/21
最新の人気&amp;おすすめな洋楽ダンスミュージック 【2020年03月21日】,https://www.youtube.com/watch?v=Y3PvlVrbovI,167533,94300,177,2020/03/20
【飛ばないHANDCLAP１５分ノーカット】２週間で１０キロ痩せるダンスをいろんな洋楽で踊ってみた！【４００万再生&amp;登録者２０万人記念】家で一緒にやってみよう,https://www.youtube.com/watch?v=MGTHu9gRQWM,409166,531000,77,2020/03/18
【ダンス】現役TikTokerが今回もダンス伝言ゲームをしてみたら面白すぎたwwwww,https://www.youtube.com/watch?v=PO5ABAeFmjA,633109,441000,143,2020/03/18
【HIP】2週間で10kg痩せたいダンス　 mamamoo,https://www.youtube.com/watch?v=kWXlEyzaXck,318860,13000,2452,2020/03/18
【腰肉撃退ダンス】贅肉落としてスッキリさせよう【自宅で脂肪燃焼ダイエット】 #103,https://www.youtube.com/watch?v=syHHtUvKaeY,42947,30000,143,2020/03/17
【嵐 公式ティックトック】クセ強め?! Turning Up ダンス【ターニングアップ】,https://www.youtube.com/watch?v=tnE3sVFxcdU,1197863,27800,4308,2020/03/17
【Shake It Off】2週間で10kg痩せたいダンス,https://www.youtube.com/watch?v=it09aBN-sIw,483142,13000,3716,2020/03/16
JO1｜【公約実践＃3】川尻蓮『無限大(INFINITY)』ダンスレクチャー(Dance Tutorial)-前編,https://www.youtube.com/watch?v=rK1QFDx-qCg,437731,306000,143,2020/03/16
JO1｜【公約実践＃3】川尻蓮『無限大(INFINITY)』ダンスレクチャー(Dance Tutorial) -後編,https://www.youtube.com/watch?v=iYOJ_LVHZ18,198382,306000,64,2020/03/16
ケロポンズと踊ろう『できるさ できるよ あさごはん／シスコーンズ』ダンスおてほん動画,https://www.youtube.com/watch?v=daB6BqGoidc,24064,218000,11,2020/03/16
【初心者用】5分で痩せる！ダンスダイエット！LIVEダイエットフィットネス Vol.1〜紅蓮華/LISA〜【鬼滅の刃】,https://www.youtube.com/watch?v=sdhyO5sSyjA,112688,823,13692,2020/03/15
高校ダンス部🌷ステージpart3🎯DANCE CLUB,https://www.youtube.com/watch?v=dD8rHgdkW2E,1494,6760,22,2020/03/15
世界で１番再生されてる痩せるダンスを踊ってみたから一緒に踊ろう！自宅で簡単アレンジver.【ダイエット】,https://www.youtube.com/watch?v=wg_HpqrgmoA,533335,531000,100,2020/03/15
【15分ノーカット】2週間で10kg痩せるダンスをいっしょに踊ろう！HAND CLAP,https://www.youtube.com/watch?v=6EuYIBOxZoY,172466,461000,37,2020/03/14
